Event,Summary,Month,Year,Day,datetime
Sputnik I,The Soviet Union began the space race by launching humankind's first artificial satellite. The 23-inch diameter sphere transmitted signals to Earth for 22 days and continued in orbit until burning up on Jan. 4. 1958 . The launch of Sputnik shook up the United States. which feared a technology gap between itself and the Soviet Union and began to revamp the nation's science and engineering education. A year later. NASA was created.,10,1957,4,10/4/1957
First creature in space,A stray husky-spitz mix named Laika was the first living creature to orbit the Earth. She was also the first fatal casualty in the Space Age. According to documents at the National Air and Space Museum. Laika reached orbit alive aboard Sputnik 2 – and orbited the Earth in 103 minutes. But the temperature inside the capsule soared above 90 degrees after the fourth orbit following the loss of the heat shield. and Laika died soon afterward. The capsule continued to orbit for five months.,11,1957,3,11/3/1957
US launches first satellite,The United States joined the space race when Explorer 1 was launched into orbit on Jan. 31. 1958. The satellite lifted off from Cape Canaveral in Florida under the direction of legendary German-born scientist Wernher Von Braun. Explorer 1. which was 80 inches long and 6.25 inches in diameter. revolved around Earth in a looping orbit that took it as close as 220 miles of Earth and as far away as 1.563 miles. Explorer orbited the Earth more than 58.000 times before burning up on March 31. 1970.,1,1958,31,1/31/1958
First creatures return from space,Less than two years after Laika perished while orbiting the Earth. two monkeys. Able and Baker. became the first living beings to return to our planet alive. Able. a female rhesus monkey. and Baker. a female squirrel monkey. were sent into space by the United States aboard a Jupiter missile. The flight lasted about 15 minutes and the spacecraft's speed topped 10.000 miles an hour. The monkeys suffered no ill effects from the flight that included a period of weightlessness. The success of the mission encouraged scientists to believe manned space travel was possible. Able died during a medical procedure shortly after the flight but Baker became a celebrity and received as many as 150 letters a day from schoolchildren.,5,1959,28,5/28/1959
Yuri Gagarin,Soviet cosmonaut Yuri Gagarin became the first human to fly into space and return to Earth safely. beating the United States by several weeks. Gagarin circled the planet in 108 minutes aboard the Vostok 1 spacecraft that traveled at 17.000 miles an hour. The launch of Sputnik and the triumph of putting a man into space were twin shocks to American pride and ratcheted up the competition in the space race.,4,1961,12,4/12/1961
First US man in space,The United States had hoped to be the first nation to put a man into space. but the Soviet Union won that race with Gagarin accomplishing that feat. Several weeks later. Alan Shepard flew the Freedom 7 spacecraft on a suborbital 15-minute flight that reached a peak altitude of 116 miles and a top speed of 5.180 miles an hour. Unlike Gagarin. whose capsule was automatically controlled. Shepard was able to take control of his spacecraft for short periods.,5,1961,1,5/1/1961
Kennedy's speech on space exploration,Several weeks after Alan Shepard became the first American in space. President John F. Kennedy gave a speech before both houses of Congress. committing the nation to space exploration. Kennedy's clarion call for an ambitious space program included landing Americans on the moon and returning them safely to Earth by the end of the decade as well as other space projects.,5,1961,25,5/25/1961
Glenn orbits Earth,Less than a year after Gagarin became the first man to orbit the Earth. John Glenn became the first American to do so. completing three orbits around the planet aboard the Friendship 7 capsule. Glenn was already a military hero by the time he was chosen to be an astronaut for Project Mercury. After he completed his mission. he went on to a successful political career as senator from Ohio. He made history again at the age of 77 in 1998 by becoming the oldest person to fly into space when he flew on the space shuttle.,2,1962,20,2/20/1962
First woman in space,Cosmonaut Valentina Tereshkova is not a household name in the United States. but she is revered in Russia because she was the first woman to fly in space – 20 years before Sally Ride became the first American woman to do so. Tereshkova orbited Earth 48 times in her space capsule. the Vostok 6. That was her only trip into space. She received the highest honors from the Soviet Union and was bestowed the United Nations Gold Medal of Peace. Tereshkova toured the world and became a staunch advocate for Soviet science.,6,1963,16,6/16/1963
First space walk,Russian cosmonaut Alexei Leonov became the first person to walk in space. after leaving the Voskhod spacecraft that carried two passengers. Leonov walked in space for about 10 minutes. His suit expanded minutes after he stepped into space owing to the lack of pressure. and he was unable to fit through the hatch when he tried return to the spacecraft. Leonov had to release a valve to partially depressurize his suit to allow him to get back into the spaceship. Three months later. Ed White would become the first American to walk in space.,3,1965,25,3/25/1965
