type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,coordenadas
heliport,Total Rf Heliport,40.07080078125,-74.93360137939453,11.0,US,"[-74.93360137939453, 40.07080078125]"
small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435.0,US,"[-101.473911, 38.704022]"
small_airport,Lowell Field,59.947733,-151.692524,450.0,US,"[-151.692524, 59.947733]"
small_airport,Epps Airpark,34.86479949951172,-86.77030181884766,820.0,US,"[-86.77030181884766, 34.86479949951172]"
closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237.0,US,"[-91.254898, 35.6087]"
small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0,US,"[-97.8180194, 34.9428028]"
small_airport,Cordes Airport,34.305599212646484,-112.16500091552734,3810.0,US,"[-112.16500091552734, 34.305599212646484]"
small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038.0,US,"[-116.885329, 35.35474]"
small_airport,Williams Ag Airport,39.427188,-121.763427,87.0,US,"[-121.763427, 39.427188]"
heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350.0,US,"[-116.4597417, 32.7273736]"
closed,Cass Field,40.622202,-104.344002,4830.0,US,"[-104.344002, 40.622202]"
small_airport,Grass Patch Airport,28.64550018310547,-82.21900177001953,53.0,US,"[-82.21900177001953, 28.64550018310547]"
heliport,Ringhaver Heliport,28.846599578857425,-82.34539794921875,25.0,US,"[-82.34539794921875, 28.846599578857425]"
small_airport,River Oak Airport,27.230899810791016,-80.96920013427734,35.0,US,"[-80.96920013427734, 27.230899810791016]"
small_airport,Lt World Airport,33.76750183105469,-84.06829833984375,700.0,US,"[-84.06829833984375, 33.76750183105469]"
heliport,Caffrey Heliport,33.889245,-84.73793,957.0,US,"[-84.73793, 33.889245]"
heliport,Kaupulehu Heliport,19.832715,-155.980233,43.0,US,"[-155.980233, 19.832715]"
small_airport,Delta Shores Airport,48.145301818847656,-116.21399688720705,2064.0,US,"[-116.21399688720705, 48.145301818847656]"
small_airport,Goltl Airport,39.724028,-101.395994,3359.0,US,"[-101.395994, 39.724028]"
closed,Bailey Generation Station Heliport,41.644501,-87.122803,600.0,US,"[-87.122803, 41.644501]"
small_airport,Hammer Airport,41.97840118408203,-89.5604019165039,840.0,US,"[-89.5604019165039, 41.97840118408203]"
heliport,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634.0,US,"[-87.2605972290039, 41.51139831542969]"
small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0,US,"[-89.1229019165039, 40.02560043334961]"
small_airport,Hayden Farm Airport,38.72779846191406,-94.93049621582033,1100.0,US,"[-94.93049621582033, 38.72779846191406]"
small_airport,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265.0,US,"[-84.61969757080078, 37.409400939941406]"
heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15.0,US,"[-90.980833, 30.191944]"
heliport,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600.0,US,"[-89.70559692382812, 39.66529846191406]"
small_airport,Lejeune Airport,30.136299,-92.429398,12.0,US,"[-92.429398, 30.136299]"
small_airport,Slater Field,38.75709915161133,-75.75379943847656,45.0,US,"[-75.75379943847656, 38.75709915161133]"
heliport,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588.0,US,"[-86.41670227050781, 43.94940185546875]"
small_airport,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365.0,US,"[-95.70030212402344, 46.29999923706055]"
small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,US,"[-94.412399291992, 37.202800750732]"
heliport,Livingston Healthcare Heliport,45.675,-110.52515,4465.0,US,"[-110.52515, 45.675]"
small_airport,Bucks Airport,39.47320175170898,-75.1852035522461,105.0,US,"[-75.1852035522461, 39.47320175170898]"
small_airport,North Raleigh Airport,36.08520126342773,-78.37139892578125,348.0,US,"[-78.37139892578125, 36.08520126342773]"
heliport,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78.0,US,"[-74.47460174560547, 40.52090072631836]"
seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,US,"[-73.3698057, 44.8118612]"
small_airport,Weiss Airfield,42.90010070800781,-77.49970245361328,1000.0,US,"[-77.49970245361328, 42.90010070800781]"
closed,Exit 3 Airport,41.590476,-84.141583,785.0,US,"[-84.141583, 41.590476]"
heliport,Miami Valley Hospital Heliport,39.74530029296875,-84.1874008178711,905.0,US,"[-84.1874008178711, 39.74530029296875]"
small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0,US,"[-96.217693, 36.198598]"
heliport,Steel Systems Heliport,44.932899475097656,-123.12999725341795,195.0,US,"[-123.12999725341795, 44.932899475097656]"
heliport,R J D Heliport,39.94889831542969,-75.74690246582031,402.0,US,"[-75.74690246582031, 39.94889831542969]"
small_airport,Ferrell Field,41.2995,-80.211111,1301.0,US,"[-80.211111, 41.2995]"
closed,Thomas Field,40.3778,-77.365303,815.0,US,"[-77.365303, 40.3778]"
small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0,US,"[-122.086, 44.181466]"
small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150.0,US,"[-80.26719665527344, 34.0093994140625]"
small_airport,Homan Field,44.809158,-96.498897,1590.0,US,"[-96.498897, 44.809158]"
closed,SW Region FAA Heliport,32.8269,-97.305801,598.0,US,"[-97.305801, 32.8269]"
heliport,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.1894989013672,600.0,US,"[-97.1894989013672, 32.847599029541016]"
small_airport,Ragsdale Road Airport,35.515899658203125,-85.95359802246094,1100.0,US,"[-85.95359802246094, 35.515899658203125]"
small_airport,Alpine Range Airport,32.607601165771484,-97.24199676513672,670.0,US,"[-97.24199676513672, 32.607601165771484]"
closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,19.0,US,"[-94.980201, 29.7377]"
closed,Clear Creek Ranch Airport,37.247799,-112.821998,6138.0,US,"[-112.821998, 37.247799]"
small_airport,Vaughan Airport,36.57600021,-78.9991684,551.0,US,"[-78.9991684, 36.57600021]"
small_airport,Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,2680.0,US,"[-80.49949645996094, 36.66329956054688]"
small_airport,Lower Granite State Airport,46.672884,-117.441933,719.0,US,"[-117.441933, 46.672884]"
small_airport,Howell Airport,47.17839813232422,-122.77200317382812,150.0,US,"[-122.77200317382812, 47.17839813232422]"
